Tractate,Daf,Amud,Section,Book,Chapter,Verse,Hebrew Text - Vocalized,Hebrew Text
Arakhin,2,a,1,Leviticus,27,3,וְהָיָ֤ה עֶרְכְּךָ֙ הַזָּכָ֔ר מִבֶּן֙ עֶשְׂרִ֣ים שָׁנָ֔ה וְעַ֖ד בֶּן־שִׁשִּׁ֣ים שָׁנָ֑ה וְהָיָ֣ה עֶרְכְּךָ֗ חֲמִשִּׁ֛ים שֶׁ֥קֶל כֶּ֖סֶף בְּשֶׁ֥קֶל הַקֹּֽדֶשׁ,והיה ערכך הזכר מבן עשרים שנה ועד בן־ששים שנה והיה ערכך חמשים שקל כסף בשקל הקדש
Arakhin,2,a,1,Leviticus,27,4,וְאִם־נְקֵבָ֖ה הִ֑וא וְהָיָ֥ה עֶרְכְּךָ֖ שְׁלֹשִׁ֥ים שָֽׁקֶל,ואם־נקבה הוא והיה ערכך שלשים שקל
Arakhin,2,a,1,Leviticus,27,5,וְאִ֨ם מִבֶּן־חָמֵ֜שׁ שָׁנִ֗ים וְעַד֙ בֶּן־עֶשְׂרִ֣ים שָׁנָ֔ה וְהָיָ֧ה עֶרְכְּךָ֛ הַזָּכָ֖ר עֶשְׂרִ֣ים שְׁקָלִ֑ים וְלַנְּקֵבָ֖ה עֲשֶׂ֥רֶת שְׁקָלִֽים,ואם מבן־חמש שנים ועד בן־עשרים שנה והיה ערכך הזכר עשרים שקלים ולנקבה עשרת שקלים
Arakhin,2,a,1,Leviticus,27,6,וְאִ֣ם מִבֶּן־חֹ֗דֶשׁ וְעַד֙ בֶּן־חָמֵ֣שׁ שָׁנִ֔ים וְהָיָ֤ה עֶרְכְּךָ֙ הַזָּכָ֔ר חֲמִשָּׁ֥ה שְׁקָלִ֖ים כָּ֑סֶף וְלַנְּקֵבָ֣ה עֶרְכְּךָ֔ שְׁלֹ֥שֶׁת שְׁקָלִ֖ים כָּֽסֶף,ואם מבן־חדש ועד בן־חמש שנים והיה ערכך הזכר חמשה שקלים כסף ולנקבה ערכך שלשת שקלים כסף
Arakhin,2,a,1,Leviticus,27,7,וְ֠אִם מִבֶּן־שִׁשִּׁ֨ים שָׁנָ֤ה וָמַ֙עְלָה֙ אִם־זָכָ֔ר וְהָיָ֣ה עֶרְכְּךָ֔ חֲמִשָּׁ֥ה עָשָׂ֖ר שָׁ֑קֶל וְלַנְּקֵבָ֖ה עֲשָׂרָ֥ה שְׁקָלִֽים,ואם מבן־ששים שנה ומעלה אם־זכר והיה ערכך חמשה עשר שקל ולנקבה עשרה שקלים
Arakhin,2,a,6,Leviticus,27,2,דַּבֵּ֞ר אֶל־בְּנֵ֤י יִשְׂרָאֵל֙ וְאָמַרְתָּ֣ אֲלֵהֶ֔ם אִ֕ישׁ כִּ֥י יַפְלִ֖א נֶ֑דֶר בְּעֶרְכְּךָ֥ נְפָשֹׁ֖ת לַֽיהוָֽה,דבר אל־בני ישראל ואמרת אלהם איש כי יפלא נדר בערכך נפשת ליהוה
Arakhin,2,a,7,Leviticus,27,2,דַּבֵּ֞ר אֶל־בְּנֵ֤י יִשְׂרָאֵל֙ וְאָמַרְתָּ֣ אֲלֵהֶ֔ם אִ֕ישׁ כִּ֥י יַפְלִ֖א נֶ֑דֶר בְּעֶרְכְּךָ֥ נְפָשֹׁ֖ת לַֽיהוָֽה,דבר אל־בני ישראל ואמרת אלהם איש כי יפלא נדר בערכך נפשת ליהוה
Arakhin,2,a,11,Leviticus,1,4,וְסָמַ֣ךְ יָד֔וֹ עַ֖ל רֹ֣אשׁ הָעֹלָ֑ה וְנִרְצָ֥ה ל֖וֹ לְכַפֵּ֥ר עָלָֽיו,וסמך ידו על ראש העלה ונרצה לו לכפר עליו
Arakhin,2,a,14,Leviticus,3,2,וְסָמַ֤ךְ יָדוֹ֙ עַל־רֹ֣אשׁ קָרְבָּנ֔וֹ וּשְׁחָט֕וֹ פֶּ֖תַח אֹ֣הֶל מוֹעֵ֑ד וְזָרְק֡וּ בְּנֵי֩ אַהֲרֹ֨ן הַכֹּהֲנִ֧ים אֶת־הַדָּ֛ם עַל־הַמִּזְבֵּ֖חַ סָבִֽיב,וסמך ידו על־ראש קרבנו ושחטו פתח אהל מועד וזרקו בני אהרן הכהנים את־הדם על־המזבח סביב
Arakhin,2,a,14,Leviticus,1,3,אִם־עֹלָ֤ה קָרְבָּנוֹ֙ מִן־הַבָּקָ֔ר זָכָ֥ר תָּמִ֖ים יַקְרִיבֶ֑נּוּ אֶל־פֶּ֜תַח אֹ֤הֶל מוֹעֵד֙ יַקְרִ֣יב אֹת֔וֹ לִרְצֹנ֖וֹ לִפְנֵ֥י יְהוָֽה,אם־עלה קרבנו מן־הבקר זכר תמים יקריבנו אל־פתח אהל מועד יקריב אתו לרצנו לפני יהוה
Arakhin,2,a,15,Leviticus,27,10,לֹ֣א יַחֲלִיפֶ֗נּוּ וְלֹֽא־יָמִ֥יר אֹת֛וֹ ט֥וֹב בְּרָ֖ע אוֹ־רַ֣ע בְּט֑וֹב וְאִם־הָמֵ֨ר יָמִ֤יר בְּהֵמָה֙ בִּבְהֵמָ֔ה וְהָֽיָה־ה֥וּא וּתְמוּרָת֖וֹ יִֽהְיֶה־קֹּֽדֶשׁ,לא יחליפנו ולא־ימיר אתו טוב ברע או־רע בטוב ואם־המר ימיר בהמה בבהמה והיה־הוא ותמורתו יהיה־קדש
